HEA Phase Dataset v1d,,,,,,,,,,,,,,,,
Alloy_ID,Alloy,Num_of_Elem,VEC,Atom.Size.Diff,Elect.Diff,dHmix,dSmix,,Sythesis_Route Hot-Cold_Working Homog_Temp,,Homog_Time,Anneal_Temp,Anneal_Time,Quench_Proc,Phases,References
Alloy 0000,Al0.5NbTaTiV,5,4.56,3.7375,0.0496,-8.3951,13.15,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.proeng.2012.03.043
Alloy 0001,Al0.75MoNbTiV,5,4.68,3.8633,0.2328,-9.3518,13.33,AC,-,-,-,-,-,-,BCC_SS,10.3390/e16020870
Alloy 0002,Al0.25MoNbTiV,5,4.88,4.0034,0.2432,-4.0415,12.71,AC,-,-,-,-,-,-,BCC_SS,10.3390/e16020870
Alloy 0003,Al0.25NbTaTiV,5,4.65,3.8324,0.0502,-4.8166,12.71,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.proeng.2012.03.043
Alloy 0004,Al0.2MoTaTiV,5,4.9,4.0178,0.2443,-3.356,12.57,AC,-,-,-,-,-,-,BCC_SS,10.4028/www.scientific.net/MSF.898.638
Alloy 0005,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6,4.34,4.5,0.11,-4.86,13.46,AC,-,1400,120,1400,1440,10 °C/min,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0006,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6,4.34,4.5,0.11,-4.86,13.46,AC,-,1400,120,1400,1440,10 °C/min,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0007,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6,4.34,4.5,0.11,-4.86,13.46,AC,-,1400,120,1400,1440,10 °C/min,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0008,Al0.5CrNbTi2V0.5,5,4.6,6.0185,0.0469,-10.96,12.23,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matlet.2016.11.030
Alloy 0009,Al0.5MoNbTiV,5,4.78,3.9324,0.2378,-7.0123,13.15,AC,-,-,-,-,-,-,BCC_SS,10.3390/e16020870
Alloy 0010,Al0.6MoTaTiV,5,4.74,3.9045,0.2358,-8.0151,13.24,AC,-,-,-,-,-,-,BCC_SS,10.4028/www.scientific.net/MSF.898.638
Alloy 0011,Al1.5MoNbTiV,5,4.45,3.67,0.2192,-13.8182,13.25,AC,-,-,-,-,-,-,BCC_SS,10.3390/e16020870
Alloy 0012,AlCr0.5NbTiV,5,4.44,5.2325,0.0376,-15.4074,13.15,AC,-,1200,1440,-,-,-,BCC_SS,10.1016/j.jallcom.2015.08.224
Alloy 0013,AlCr0.5NbTiV,5,4.44,5.2325,0.0376,-15.4074,13.15,AC,-,1200,1440,-,-,-,BCC_SS,10.1016/j.jallcom.2015.08.224
Alloy 0014,AlCr0.5NbTiV,5,4.44,5.2325,0.0376,-15.4074,13.15,AC,-,1200,1440,-,-,-,Im,10.1016/j.jallcom.2015.08.224
Alloy 0015,AlCr0.5NbTiV,5,4.44,5.2325,0.0376,-15.4074,13.15,AC,-,1200,1440,-,-,-,Im,10.1016/j.jallcom.2015.08.224
Alloy 0016,AlCrMoNbTi,5,4.8,4.87,0.23,-13.6,13.38,AC,-,-,-,1300,1200,-,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0017,AlCrMoNbTi,5,4.8,4.87,0.23,-13.6,13.38,AC,-,-,-,1300,1200,-,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0018,AlCrMoNbTi,5,4.8,4.87,0.23,-13.6,13.38,AC,-,-,-,1300,1200,-,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0019,AlCrMoNbTi,5,4.8,4.87,0.23,-13.6,13.38,AC,-,-,-,1300,1200,-,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0020,AlCrMoNbTi,5,4.8,4.87,0.23,-13.6,13.38,AC,-,-,-,1300,1200,-,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0021,AlMoNbTiV,5,4.6,3.7965,0.228,-11.04,13.38,AC,-,-,-,-,-,-,BCC_SS,10.3390/e16020870
Alloy 0022,MoTaTiV,4,5,4.0868,0.2655,-2.75,11.53,AC,-,-,-,-,-,-,BCC_SS,10.4028/www.scientific.net/MSF.898.638
Alloy 0023,AlNb1.5Ta0.5Ti1.5Zr0.5,5,4.2,3.07,0.08,-15.12,12.51,AC,-,1200,120,1200,1440,10 °C/min,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0024,AlNb1.5Ta0.5Ti1.5Zr0.5,5,4.2,3.07,0.08,-15.12,12.51,AC,-,1200,120,1200,1440,10 °C/min,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0025,AlNb1.5Ta0.5Ti1.5Zr0.5,5,4.2,3.07,0.08,-15.12,12.51,AC,-,1200,120,1200,1440,10 °C/min,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0026,AlNbTaTiV,5,4.4,3.16,0.05,-13.44,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.proeng.2012.03.043
Alloy 0027,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,5,4.61,4.4162,0.1012,0.8712,12.45,AC,-,-,-,-,-,-,BCC_SS,10.1080/14786435.2015.1028506
Alloy 0028,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,5,4.61,4.4162,0.1012,0.8712,12.45,AC,-,-,-,-,-,-,BCC_SS,10.1080/14786435.2015.1028506
Alloy 0029,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,5,4.61,4.4162,0.1012,0.8712,12.45,AC,-,-,-,-,-,-,BCC_SS,10.1080/14786435.2015.1028506
Alloy 0030,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,5,4.61,4.4162,0.1012,0.8712,12.45,AC,-,-,-,-,-,-,BCC_SS,10.1080/14786435.2015.1028506
Alloy 0031,Hf0.5Mo0.5NbTiZr,5,4.5,5.7304,0.259,-0.25,12.97,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.intermet.2015.09.011
Alloy 0032,Hf0.5Mo0.5NbTiZr,5,4.5,5.7304,0.259,-0.25,12.97,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.jallcom.2015.11.091
Alloy 0033,Hf0.5Nb0.5Ta0.5Ti1.5Zr,5,4.4,4.9944,0.1183,2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1063/1.4966659
