id,Paper,Name,Alloy,Nb of phase,Phase,Experimental or theoretical,Experimental details,Theoretical details,Special conditions,Type of solution
0,10.1016-j.matlet.2018.01.017.txt,10.1016-j.matlet.2018.01.017.txt,AlCoCrFeNi,2,BCC B2 + FCC L12,experimental,"vacuum arc melting, Purity: >= 99.98 wt%, Repetition: at least 5 times",N/A,"Partially ordered structure, classified as High Entropy Intermetallic",Mixed Solution
1,10.1016-j.surfcoat.2024.130490.txt,10.1016-j.surfcoat.2024.130490.txt,Ti65Zr18Nb16Mo1,3,anatase + nanotubular Amorphous + rutile,experimental,"arc melting, Elements: ['Ti (99.7 wt% pure)', 'Zr (99.9 wt% pure)', 'Nb (99.95 wt% pure)', 'Mo (99.95 wt% pure)'], Ingots: cast into circular discs, 1 mm in diameter and 0.1 mm in thickness, Re-melting: more than six times, Grinding: surface oxide layers removed using sandpaper of various grit sizes, Cleaning: ultrasonic cleaning in deionized water and anhydrous ethanol for 15 min each",N/A,No specific theoretical prediction method mentioned,Amorphous
2,10.1016-j.msea.2020.139022.txt,10.1016-j.msea.2020.139022.txt,CoCrFeNiSn0.5,1,FCC,experimental,"melt fluxing technique, Elements: high purity elements (99.9%), Melting: vacuum arc melting technique, Homogeneity: ensured by melting 6 times and flipping each time, Undercooling: in a boron trioxide flux under an argon atmosphere",N/A,None,Single Solid Solution
2,10.1016-j.msea.2020.139022.txt,10.1016-j.msea.2020.139022.txt,CoCrFeNiSn5,1,FCC,experimental,"melt fluxing technique, Elements: high purity elements (99.9%), Melting: vacuum arc melting technique, Homogeneity: ensured by melting 6 times and flipping each time, Undercooling: in a boron trioxide flux under an argon atmosphere",N/A,None,Mixed Solution
3,10.1016-j.corsci.2021.109742.txt,10.1016-j.corsci.2021.109742.txt,Cr0.25Mo0.5NbTiV,1,BCC,experimental,"arc melting, Temperature: 1200, Time: multiple sessions, Pressure: 150",N/A,None,Single Solid Solution
3,10.1016-j.corsci.2021.109742.txt,10.1016-j.corsci.2021.109742.txt,Mo0.5NbTiV0.5Zr0.25,1,BCC,experimental,"arc melting, Temperature: 1200, Time: multiple sessions, Pressure: 150",N/A,None,Single Solid Solution
4,10.1016-j.vacuum.2023.112176.txt,10.1016-j.vacuum.2023.112176.txt,AlCoCrFeNiCuSnX,3,BCC + FCC + HCP,Experimental,"plasma cladding technology, Current: 500, Voltage: 60, Gas flow rate: 2.5, Powder feed rate: 15, Stand-off distance: 100, Scanning speed: 10",N/A,No partially ordered structure or high entropy intermetallic structure mentioned,Mixed Solution
5,10.1016-j.surfin.2021.101481.txt,10.1016-j.surfin.2021.101481.txt,AlNiCoFeCu,2,BCC + FCC,Experimental,"electrodeposition, Scan rate: 0.1, Reference electrode: Saturated Ag/AgCl, Counter electrode: Platinum, Working electrode: HEA coatings, Solution: 3.5 wt.% NaCl",N/A,None,Mixed Solution
5,10.1016-j.surfin.2021.101481.txt,10.1016-j.surfin.2021.101481.txt,AlCrNiCoFeCu,2,BCC + FCC,Experimental,"electrodeposition, Scan rate: 0.1, Reference electrode: Saturated Ag/AgCl, Counter electrode: Platinum, Working electrode: HEA coatings, Solution: 3.5 wt.% NaCl",N/A,None,Mixed Solution
6,10.1016-j.ijrmhm.2021.105562.txt,10.1016-j.ijrmhm.2021.105562.txt,AlTiCrVZr,1,unknown,experimental,"commercially available, Source: commercially available",N/A,Used as a substrate for MAO coatings,Intermetallic
7,10.1016-j.jnucmat.2022.154196.txt,10.1016-j.jnucmat.2022.154196.txt,CoCrFeNi,1,FCC,experimental,"arc melting, Temperature: 1200, Time: 2 hours",N/A,None,Single Solid Solution
